account,classification,total_pnl,avg_pnl,trades,win_rate,avg_fee,avg_size_usd
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,Greed,38168.35486,224.51973447058822,170,0.4470588235294118,0.8368808882352942,2490.7195882352944
0xaf40fdc468c30116bd3307bcbf4a451a7ebf1deb,Extreme Fear,0.0,0.0,17,0.0,0.22384682352941176,2238.4694117647055
0xaf40fdc468c30116bd3307bcbf4a451a7ebf1deb,Extreme Greed,15.24474,3.048948,5,0.2,0.2115398,1729.47
0xaf40fdc468c30116bd3307bcbf4a451a7ebf1deb,Fear,14542.702934,31.96198447032967,455,0.3274725274725275,0.8683910713107692,7556.169428571428
0xaf40fdc468c30116bd3307bcbf4a451a7ebf1deb,Greed,43.2005,8.6401,5,0.4,0.5877787999999999,1816.5700000000002
0xaf40fdc468c30116bd3307bcbf4a451a7ebf1deb,Neutral,7157.683579,137.64776113461537,52,0.38461538461538464,2.669724673076923,18355.422884615386
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,Extreme Fear,9544.906134,12.915975824086605,739,0.3112313937753721,0.8001277888227334,1679.102043301759
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,Extreme Greed,1105304.859175,672.7357633444918,1643,0.5100426049908704,0.9286067346317711,3141.527096774193
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,Fear,93165.161357,31.003381483194676,3005,0.3271214642262895,0.91161622118802,1594.6896938435941
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,Greed,534058.23633,90.68742338767193,5889,0.27322125997622687,1.374772305523858,6161.486004415011
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,Neutral,401309.434693,116.08603838385883,3457,0.3780734741105004,0.8802088802371999,2621.9688140005783
0xb899e522b5715391ae1d4f137653e7906c5e2115,Extreme Fear,-33221.806818,-21.06645961826252,1577,0.33608116677235256,5.583411755865567,20678.869264426125
0xb899e522b5715391ae1d4f137653e7906c5e2115,Fear,51692.358711,17.540671432304038,2947,0.5110281642348151,6.089034358669834,23308.947170003394
0xb899e522b5715391ae1d4f137653e7906c5e2115,Neutral,4017.948928,12.796015694267515,314,0.27388535031847133,6.0310481560509555,24124.194140127387
0xbaaaf6571ab7d571043ff1e313a9609a10637864,Extreme Fear,261917.977792,58.46383432857143,4480,0.3794642857142857,0.4236779388881696,4447.5240379464285
0xbaaaf6571ab7d571043ff1e313a9609a10637864,Fear,620872.375844,49.92139389273941,12437,0.4982712872879312,0.4536365242421806,3275.304973064244
0xbaaaf6571ab7d571043ff1e313a9609a10637864,Greed,4.672458,0.9344916,5,0.2,0.0239618,71.23400000000001
0xbaaaf6571ab7d571043ff1e313a9609a10637864,Neutral,57368.780126,13.435311504918033,4270,0.47096018735363,0.24745462271662766,1727.4258618266979
0xbd5fead7180a9c139fa51a103cb6a2ce86ddb5c3,Extreme Fear,37712.523408999994,97.44838090180878,387,0.25064599483204136,2.1902670129198967,10015.927416020671
0xbd5fead7180a9c139fa51a103cb6a2ce86ddb5c3,Extreme Greed,6053.160569999998,19.526324419354832,310,0.08387096774193549,0.46807567419354845,2881.2370967741936
0xbd5fead7180a9c139fa51a103cb6a2ce86ddb5c3,Fear,236797.727737,200.50612001439458,1181,0.4987298899237934,2.010283585944115,9070.947688399661
0xbd5fead7180a9c139fa51a103cb6a2ce86ddb5c3,Greed,30258.203855,86.45201101428572,350,0.24285714285714285,0.39020926,2397.802942857143
0xbd5fead7180a9c139fa51a103cb6a2ce86ddb5c3,Neutral,-90302.553718,-218.6502511331719,413,0.16464891041162227,3.0741974223486683,10692.552179176755
0xbee1707d6b44d4d52bfe19e41f8a828645437aab,Extreme Fear,30774.092128,6.059084884426068,5079,0.41327032880488285,0.3405227268989959,1445.72832250443
0xbee1707d6b44d4d52bfe19e41f8a828645437aab,Extreme Greed,478811.468185,71.21991197159007,6723,0.5963111706083594,0.24901964419753084,2458.4087832812734
0xbee1707d6b44d4d52bfe19e41f8a828645437aab,Fear,55978.79696,4.33910526005736,12901,0.37655995659251223,0.3453685518153632,1503.4243562514534
